"","X","Height","Tree","Shrub","WoodyLiana","ParasiticEpiphyte","DwarfShrub","MonocarpPerennialHerb","PolycarpNonClonalHerb","ClonalHerb","AnnualHerb","ChamPh","GeoPh","HemiPh","HydroPh","MphanPh","NphanPh","TherPh","LfArVertic","LfArAltern","LfArRosette","LfArOppos","LfTSimple","LfTReduced","LfTComp","LfGrSpring","LfGrSummer","LfGrWinter","LfGrPersist","LfScler","LfSuccul","LA","SLA","LDMC","FloweringLength","Dioecy","OutCross","AutoGam","ZooGam","AnemoGam","HydroGam","FleshyFr","VegetRepr","MyrmChor","SeedMass","Sh_polycyclic_Woody_incl","BdBank_size","BdBank_depth","Parasit","MHtroph","Cvory","Nfix","Gnm_size","Gnm_GC","Clon_persist","Clon_multip","LateralSpr","ClonInd","ClonDispOrg","DiasporeVeg","DiasporeGen","DispAllium","DispBidens","DispCornus","DispEpilobium","DispalLycopodium","DispPhragmites","DispSparganium","DispWolffia","DispZea"
"13","Achillea_ptarmica",-0.429245636773568,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.5,0,4.77912349311153,16.3,213,4,0.5,0.88,0,1,0,0,0,0.5,1,-1.23787435600162,0,20,4,0,0,0,0,8.71410282293615,38.92,4,6,0.13,5,0,0,1,1,0,0,0,0,0,0,0,0
"14","Achillea_setacea",-1.10563690360507,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.88,0,NA,NA,NA,3,0.5,NA,0,1,0,0,0,0.5,1,-1.71479842809193,1,20,4,0,0,0,0,8.51191327716846,39.33,4,6,0.13,5,0,0,1,1,0,0,0,0,0,0,0,0
"15","Achillea_styriaca",-0.355247391947547,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0
"16","Acinos_arvensis",-1.42295834549148,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,5.54024341716161,19.24,235.3,3,0.5,0.75,0,1,0,0,0,0,1,-0.462035459596559,0,10,3,0,0,0,0,6.96514644351132,40.7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"17","Aconitum_anthora",-0.460449416440924,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,2,NA,0.75,NA,NA,NA,NA,0,NA,0,NA,0,10,3,0,0,0,0,9.09632921383757,41.49,1,1,0.01,3,0,0,1,1,0,0,0,0,0,0,0,0
"18","Aconitum_firmum",0.0962188577405429,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,2,NA,0.75,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,0,0,9.16803498610814,42.64,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0
"19","Aconitum_lycoctonum",-0.161343150408763,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.63,0,9.35116696480118,22.59,140.16,2,0,0.75,1,1,0,0,0,0.5,0,1.16938135955632,1,15,3.67,0,0,0,0,9.63353995715953,42.86,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"20","Aconitum_plicatum",-0.104250021373799,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.75,0,NA,NA,NA,3,0,0.75,0,1,0,0,0,0,0,NA,0,10,3,0,0,0,0,9.82950026540737,43.04,1,1,0.01,3,0,0,1,1,0,0,0,0,0,0,0,0
"21","Aconitum_variegatum",0.183154543097846,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.63,0,NA,NA,NA,3,0,0.75,0,1,0,0,0,0,0,NA,0,10,3,0,0,0,0,9.17079568634949,42.47,1,3,0.06,3,1,0,1,1,0,0,0,0,0,0,0,0
"22","Acorus_calamus",-0.161343150408763,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.25,0,9.21705577311149,25.56,246.66,2,0,NA,NA,NA,NA,NA,1,1,0,0.425267735404344,0,20,4,0,0,0,0,6.97028866618161,39.33,3,3.25,0.13,5,0,NA,NA,0,0,0,0,0,0,0,0,1
