	Height	Tree	Shrub	WoodyLiana	ParasiticEpiphyte	DwarfShrub	MonocarpPerennialHerb	PolycarpNonClonalHerb	ClonalHerb	AnnualHerb	ChamPh	GeoPh	HemiPh	HydroPh	MphanPh	NphanPh	TherPh	LfArVertic	LfArAltern	LfArRosette	LfArOppos	LfTSimple	LfTReduced	LfTComp	LfGrSpring	LfGrSummer	LfGrWinter	LfGrPersist	LfScler	LfSuccul	LA	SLA	LDMC	FloweringLength	Dioecy	OutCross	AutoGam	ZooGam	AnemoGam	HydroGam	FleshyFr	VegetRepr	MyrmChor	SeedMass	SeedNo	Sh_polycyclic_Woody_incl	BdBank_size	BdBank_depth	Parasit	MHtroph	Cvory	Nfix	Gnm_size	Gnm_GC	Clon_persist	Clon_multip	LateralSpr	ClonInd	ClonDispOrg	DiasporeVeg	DiasporeGen	DispAllium	DispBidens	DispCornus	DispEpilobium	DispalLycopodium	DispPhragmites	DispSparganium	DispWolffia	DispZea
Abies_alba	40	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0.88	0	41.25	5.87	319.3	1	0	0.9	0	0	1	1	0	0	0	79.2	NA	1	0	0	0	0	0	0	33783.36	43.47	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Abutilon_theophrasti	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0.75	0	NA	NA	NA	2	0	0.6	1	0	0	0	0	0	0	10.61	NA	NA	NA	NA	0	0	0	0	NA	NA	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Acer_campestre	7.5	0.75	0.25	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0.75	0	4741.5	14.54	360.5	1	0	0.5	0	1	0	0	0	0.25	0	54.35	1548.5	1	30	10	0	0	0	0	1221.32	37.68	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0
Acer_negundo	15	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0.75	0	NA	25.1	NA	2	1	0.9	0	0	1	1	0	0.5	0	41.21	NA	1	0	0	0	0	0	0	906.36	37.21	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0
Acer_platanoides	25	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0.63	0	5193.77	19.66	274	2	0	1	0	1	0	0	0	0	0	100.83	1	1	0	0	0	0	0	0	1239.55	37.81	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Acer_pseudoplatanus	30	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0.75	0	8365.18	16.68	262.5	1	0.5	0.75	0	1	0	0	0	0	0	69.2	3407	1	30	10	0	0	0	0	2336.28	37.82	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Achillea_asplenifolia	0.6	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	0	NA	1	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Achillea_collina	0.43	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.88	0	1037.49	17.4	190.87	5	0.5	0.88	0	1	0	0	0	0.5	1	0.14	5523.82	NA	NA	NA	0	0	0	0	9295.79	40.22	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Achillea_millefolium	0.55	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0.88	0	411	18.94	185.5	5	0.5	0.88	0	1	0	0	0	0.5	1	0.13	4969.69	1	22.14	5.06	0	0	0	0	13496.44	NA	4	4.75	0.14	5	0	0	1	1	0	0	0	0	0	0	0	0
Achillea_nobilis	0.38	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.88	0	NA	NA	NA	5	0.5	1	0	1	0	0	0	0.5	1	0.06	NA	1	37.67	8.45	0	0	0	0	4523.38	40.15	3.5	3.38	0.1	5	0	0	1	1	0	0	0	0	0	0	0	0
Achillea_pannonica	0.53	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.88	0	567.84	8.08	333.99	5	0.5	1	0	1	0	0	0	0.5	1	0.14	544.2	1	20	4	0	0	0	0	17273.24	40.28	4	6	0.13	5	0	0	1	1	0	0	0	0	0	0	0	0
Achillea_pratensis	0.55	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	7	0.5	1	0	1	0	0	0	0.5	1	NA	NA	NA	NA	NA	0	0	0	0	9811.74	40.12	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Achillea_ptarmica	0.65	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.5	0	119	16.3	213	4	0.5	0.88	0	1	0	0	0	0.5	1	0.28	3500.4	0	20	4	0	0	0	0	6088.17	38.92	4	6	0.13	5	0	0	1	1	0	0	0	0	0	0	0	0
Achillea_setacea	0.33	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.88	0	NA	NA	NA	3	0.5	NA	0	1	0	0	0	0.5	1	0.17	NA	1	20	4	0	0	0	0	4973.67	39.33	4	6	0.13	5	0	0	1	1	0	0	0	0	0	0	0	0
Achillea_styriaca	0.7	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0	NA	1	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Acinos_arvensis	0.24	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	254.74	19.24	235.3	3	0.5	0.75	0	1	0	0	0	0	1	0.62	342	0	10	3	0	0	0	0	1059.07	40.7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Aconitum_anthora	0.63	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	2	NA	0.75	NA	NA	NA	NA	0	NA	0	NA	NA	0	10	3	0	0	0	0	8922.48	41.49	1	1	0.01	3	0	0	1	1	0	0	0	0	0	0	0	0
Aconitum_firmum	1.1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	2	NA	0.75	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	0	0	0	0	9585.77	42.64	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Aconitum_lycoctonum	0.85	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.63	0	11512.25	22.59	140.16	2	0	0.75	1	1	0	0	0	0.5	0	3.21	NA	1	15	3.67	0	0	0	0	15268.39	42.86	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Aconitum_plicatum	0.9	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.75	0	NA	NA	NA	3	0	0.75	0	1	0	0	0	0	0	NA	NA	0	10	3	0	0	0	0	18573.67	43.04	1	1	0.01	3	0	0	1	1	0	0	0	0	0	0	0	0
Aconitum_variegatum	1.2	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.63	0	NA	NA	NA	3	0	0.75	0	1	0	0	0	0	0	NA	35122	0	10	3	0	0	0	0	9612.27	42.47	1	3	0.06	3	1	0	1	1	0	0	0	0	0	0	0	0
Acorus_calamus	0.85	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.25	0	10067.38	25.56	246.66	2	0	NA	NA	NA	NA	NA	1	1	0	1.52	0	0	20	4	0	0	0	0	1064.53	39.33	3	3.25	0.13	5	0	NA	NA	0	0	0	0	0	0	0	0	1
Actaea_europaea	1.4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	NA	NA	NA	NA	NA	0	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0	NA	1	NA	NA	NA	NA	NA	0	0	0	0	19296.56	39.44	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Actaea_spicata	0.5	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0.5	0	21941.25	37.33	248.33	3	0	0.5	1	1	0	0	1	0.5	1	119.95	262.44	0	16	4.25	0	0	0	0	18970.57	40.17	4	2	0.03	3	0	0	1	0	0	1	0	0	0	0	0	0
Adenophora_liliifolia	0.65	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.75	0	1263.55	36	NA	2	0	0.75	1	1	0	0	0	0	0	0.29	NA	0	20	4	0	0	0	0	7923.41	43.28	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Adenostyles_alliariae	1.05	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.63	0	74770.5	26.71	117.22	2	0	0.75	1	1	0	0	0	0.5	0	NA	NA	1	20	4	0	0	0	0	15823.33	39.68	4	0.75	0.07	4	0	0	1	0	0	0	1	0	0	0	0	0
Adonis_aestivalis	0.4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0.75	0	193.5	42.07	120.2	3	0	0.5	1	1	0	0	0	0	1	11.52	73.4	0	5	1	0	0	0	0	30841.73	43.24	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Adonis_vernalis	0.25	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.75	0	279	15.31	357.84	2	0	0.75	1	1	0	0	0	0.5	1	10.6	60.63	0	20	4	0	0	0	0	20296.09	41.34	3.33	1	0.01	3	0	0	1	1	0	0	0	0	0	0	0	0
Adoxa_moschatellina	0.13	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0.5	0	1903.67	38.45	136.67	3	0	0.75	1	1	0	0	1	0.75	NA	0.63	276.7	0	10	3	0	0	0	0	25061.8	37.05	1.6	4	0.13	5	0	0	1	1	0	0	0	0	0	0	0	0
Aegopodium_podagraria	0.75	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0.63	0	13500.24	28.8	230	4	0.5	0.75	0	1	0	0	0	0.75	0	1.68	2131.95	1	20	4	0	0	0	0	5785.31	37.52	4	1.89	0.09	3	0	0	1	1	0	0	0	0	0	0	0	0
Aesculus_hippocastanum	20	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0.75	0	6528.7	13.7	251.5	1	0.5	0.75	0	1	0	0	0	0	0	7708.65	NA	1	0	0	0	0	0	0	1011.23	38.18	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Aethusa_cynapium	0.58	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0.75	0	3207.76	32.73	193.55	3	0	0.5	1	1	0	0	0	0	0	1.69	19202.25	0	5	1	0	0	0	0	2521.36	NA	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Agrimonia_eupatoria	0.83	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0.75	0	8461	18.45	339.5	3	0	0.6	1	1	0	0	0	0	0	14.18	43.2	0	20	4	0	0	0	0	2539.55	40.65	4	1	0.03	3	0	0	1	0	1	0	0	0	0	0	0	0
Agrimonia_procera	1.25	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0.75	0	12416.06	19.52	313.44	3	0	0.6	1	1	0	0	0	0.5	0	19.86	843.72	0	20	4	0	0	0	0	5068.9	40.95	4	1	0.13	4	0	0	1	0	1	0	0	0	0	0	0	0
Agropyron_pectinatum	0.45	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	0	423	21.45	NA	3	NA	0.75	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Agrostis_alpina	0.2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.75	0	NA	NA	NA	2	0	NA	0	0	1	1	0	0.5	0	NA	NA	1	16.67	3.8	0	0	0	0	2636.17	47.64	4	6	0.04	4	0	0	1	1	0	0	0	0	0	0	0	0
Agrostis_canina	0.4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.63	0	67	27.29	281.99	3	0	0.88	0	0	1	1	0	0.5	0	0.06	385148	1	NA	NA	0	0	0	0	3060.23	47.63	NA	NA	NA	NA	NA	1	1	0	0	0	0	0	0	1	0	0
Agrostis_capillaris	0.45	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.75	0	335.67	34.43	259.67	3	0	0.88	0	0	1	1	0	0.5	0	0.06	24993.99	0	18.89	3.71	0	0	0	0	5763.83	47.18	3.65	2.74	0.08	4	0	0	1	1	0	0	0	0	0	0	0	0
Agrostis_gigantea	0.8	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.5	0	304.5	22.78	241.17	3	0	0.75	0	0	1	1	0	0.5	0	0.08	251.68	1	20	4	0	0	0	0	8152.84	46.4	4	4.75	0.09	5	0	0	1	1	0	0	0	0	0	0	0	0
Agrostis_rupestris	0.13	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.88	0	NA	15.5	NA	2	0	NA	0	0	1	1	0	0	0	0.12	NA	1	15	3.67	0	0	0	0	5080.24	46.09	4	6	0.01	4	0	0	1	1	0	0	0	0	0	0	0	0
Agrostis_scabra	0.7	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Agrostis_stolonifera	0.65	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0.5	0	365.67	31.33	273.31	3	0	0.88	0	0	1	1	0	0.5	0	0.05	62463.25	1	6.25	1.8	0	0	0	0	NA	NA	1.75	5	0.13	5	0	1	1	1	0	0	0	0	0	0	0	0
Agrostis_vinealis	0.3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	373.88	19.95	333.66	2	0	NA	0	0	1	1	0	0.5	0	0.06	68.5	1	20	4	0	0	0	0	7114	47.01	4	3.5	0.09	5	0	0	1	1	0	0	0	0	0	0	0	0
Ailanthus_altissima	22.5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0.75	0	NA	17.78	NA	1	0	0.9	0	1	0	0	0	0.5	0	33.58	NA	NA	30	10	0	0	0	0	1961.37	36.3	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0
Aira_caryophyllea	0.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0.75	0	14.2	21.08	279.67	3	0	0.43	1	0	0	0	0	0	0	0.11	5714	0	5	1	0	0	0	0	NA	NA	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Aira_praecox	0.11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	9.56	21.43	270.29	2	0	0.43	0	0	1	1	0	0	0	0.16	15447.18	0	12.5	3.4	0	0	0	0	5989.19	46.58	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Ajuga_chamaepitys	0.13	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0.75	0	70.5	22.48	157.93	6	0	NA	1	1	0	0	0	0	1	1.22	32	1	5	1	0	0	0	0	1801.46	38.64	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Ajuga_genevensis	0.2	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0.75	0	368.5	25.78	145.56	4	0	0.75	1	1	0	0	0	0.25	1	1.75	11512.39	1	39.74	8.27	0	0	0	0	2228.81	39.96	2.67	4	0.1	5	0	0	1	1	0	0	0	0	0	0	0	0
Ajuga_pyramidalis	0.13	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0.75	0	753	17.32	199.55	4	0.5	0.5	1	1	0	0	0	0.25	1	1.54	60	1	41	8.17	0	0	0	0	1858.24	38.97	2.8	2	0.06	3	0	0	1	1	0	0	0	0	0	0	0	0
Ajuga_reptans	0.17	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0.63	0	556	34.7	153	4	0	0.5	1	1	0	0	0	0.5	1	1.47	2478.83	1	35.62	8.33	0	0	0	0	2179.02	38.83	2.43	3.79	0.19	5	0	0	1	1	0	0	0	0	0	0	0	0
Alcea_biennis	1.1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alcea_rosea	2.1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	NA	NA	NA	NA	0.88	0	8249	13.66	202.64	3	0	0.5	1	1	0	0	0	0	0	8.94	3611.33	1	10	3	0	0	0	0	NA	NA	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_baltica	0.2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	4	NA	0	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_crinita	0.18	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	NA	0	NA	NA	NA	3	0	0	NA	NA	NA	NA	0	0.5	0	NA	NA	NA	NA	NA	0	0	0	0	3246.5	40.65	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_cymatophylla	0.2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	NA	0	NA	NA	NA	3	0	0	NA	NA	NA	NA	0	0.5	0	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_effusa	0.25	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0.75	0	NA	NA	NA	3	0	0	0	1	0	0	0	0.25	0	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_filicaulis	0.18	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	NA	0	1206	19.27	284	2	0	0	NA	NA	NA	NA	0	0.5	0	0.57	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_fissa	0.18	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0.75	0	NA	NA	NA	3	0	0	NA	NA	NA	NA	0	0.5	0	NA	NA	0	20	4	0	0	0	0	4225.89	40.59	4	0.5	0.01	2	0	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_flabellata	0.18	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	NA	0	NA	NA	NA	3	0	0	NA	NA	NA	NA	0	0.5	0	0.7	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_glabra	0.2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	NA	0	1535.64	21.27	243.48	4	0	0	NA	NA	NA	NA	0	0.5	0	0.45	68.13	0	15	5	0	0	0	0	3161.41	40.65	4	0.5	0.01	2	0	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_glabricaulis	0.2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	0	0	0	0	3193.03	40.78	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_glaucescens	0.18	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0.75	0	1689.25	18.63	270.75	3	0	0	NA	NA	NA	NA	0	0.5	0	0.52	193	0	NA	NA	0	0	0	0	5339.34	41.14	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_gruneica	0.25	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	3	NA	0	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_micans	0.2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	NA	0	NA	NA	NA	5	0	0	NA	NA	NA	NA	0	0.5	0	0.58	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_monticola	0.2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	NA	0	2594.75	17.3	227.44	3	0	0	NA	NA	NA	NA	0	0.5	0	0.5	18604.33	0	20	4	0	0	0	0	3276.38	40.89	4	3.25	0.09	5	0	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_obtusa	0.25	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	NA	0	NA	NA	NA	4	0	0	NA	NA	NA	NA	0	0.5	0	NA	NA	NA	NA	NA	0	0	0	0	3118.46	40.61	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_plicata	0.18	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	NA	0	NA	NA	NA	3	0	0	NA	NA	NA	NA	0	0.5	0	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_propinqua	0.2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	NA	0	2528	19.86	248.69	3	0	0	NA	NA	NA	NA	0	0.5	0	NA	250	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_reniformis	0.2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	NA	0	NA	NA	NA	2	0	0	NA	NA	NA	NA	0	0.5	0	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_straminea	0.2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	NA	0	NA	NA	NA	3	0	0	NA	NA	NA	NA	0	0.5	0	NA	NA	NA	NA	NA	0	0	0	0	3211.66	41.47	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_suavis	0.2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	3	NA	0	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_subcrenata	0.25	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	NA	0	2070.57	19.54	228.55	3	0	0	NA	NA	NA	NA	0	0.5	0	NA	80	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_subglobosa	0.2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	NA	0	2389	20.68	241.98	3	0	0	NA	NA	NA	NA	0	0.5	0	NA	200	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_vulgaris	0.25	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0.75	0	NA	18.65	342.5	3	0	0	NA	NA	NA	NA	0	0.5	0	0.63	455.09	0	20	4	0	0	0	0	NA	NA	4	0.5	0.01	2	0	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_walasii	NA	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Alchemilla_xanthochlora	0.25	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	NA	0	7360.75	19.56	212.2	3	0	0	NA	NA	NA	NA	0	0.5	0	0.33	250	0	20	4	0	0	0	0	3225.75	40.84	4	0.5	0.13	3	0	0	1	1	0	0	0	0	0	0	0	0
