	Height	Tree	Shrub	WoodyLiana	ParasiticEpiphyte	DwarfShrub	MonocarpPerennialHerb	PolycarpNonClonalHerb	ClonalHerb	AnnualHerb	ChamPh	GeoPh	HemiPh	HydroPh	MphanPh	NphanPh	TherPh	LfArVertic	LfArAltern	LfArRosette	LfArOppos	LfTSimple	LfTReduced	LfTComp	LfGrSpring	LfGrSummer	LfGrWinter	LfGrPersist	LfScler	LfSuccul	LA	SLA	LDMC	FloweringLength	Dioecy	OutCross	AutoGam	ZooGam	AnemoGam	HydroGam	FleshyFr	VegetRepr	MyrmChor	SeedMass	SeedNo	Sh_polycyclic_Woody_incl	BdBank_size	BdBank_depth	Parasit	MHtroph	Cvory	Nfix	Gnm_size	Gnm_GC	Clon_persist	Clon_multip	LateralSpr	ClonInd	ClonDispOrg	DiasporeVeg	DiasporeGen	DispAllium	DispBidens	DispCornus	DispEpilobium	DispalLycopodium	DispPhragmites	DispSparganium	DispWolffia	DispZea
Lepidium_draba	0.35	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.88	0	1213	20.5	161.67	4	0	1	1	1	0	0	0	0.5	0	1.5	2750	0	31.12	8.57	0	0	0	0	1739.54	38.94	3.54	3	0.12	3	0	0	1	1	0	0	0	0	0	0	0	0
Lepidium_ruderale	0.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0.88	0	82.5	20.92	158.5	4	0	0.25	1	0	0	0	0	0	0	2.2	29299.98	0	7.5	2.33	0	0	0	0	586.57	37.1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Lepidium_virginicum	0.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0.88	0	662.75	22.78	178.96	4	0	0.6	1	1	0	0	0	0	0	NA	8933.55	0	7.5	2.33	0	0	0	0	NA	NA	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Leucanthemum_ircutianum	0.55	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0.75	0	263.5	14.34	146.65	6	0.5	0.5	1	1	0	0	0	0.5	1	NA	45886.33	1	20	4	0	0	0	0	18671.46	40.17	3	1	0.13	4	0	0	1	1	0	0	0	0	0	0	0	0
Leucanthemum_margaritae	0.58	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0.75	0	NA	NA	NA	2	0.5	0.5	1	1	0	0	0	0.5	1	NA	NA	NA	NA	NA	0	0	0	0	22454.13	38.59	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Leucanthemum_vulgare	0.55	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0.88	0	669.67	19.27	129.67	6	0.5	0.5	1	1	0	0	0	0.5	1	0.38	2420.87	NA	NA	NA	0	0	0	0	9802.24	40.01	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Leucojum_aestivum	0.45	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0.63	0	7415	24.09	82.52	2	0	1	0	1	0	0	0	0.5	0	46.35	59.81	0	5	5	0	0	0	0	61585.41	42.28	3.33	2.5	0.01	4	0	0	1	1	0	0	0	0	0	0	0	0
Leucojum_vernum	0.2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0.63	0	2624.35	22.26	84.97	3	0	0.75	0	1	0	0	0	0.5	1	12.04	665.88	0	5	5	0	0	0	0	69162.05	42.67	3	0.75	0.01	3	0	0	1	1	0	0	0	0	0	0	0	0
Libanotis_pyrenaica	0.8	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0.75	0	11428	25.07	172.47	3	0	0.75	0	1	0	0	0	0	0	1.54	39887.83	1	15	3.67	0	0	0	0	2354.35	37.7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Ligularia_sibirica	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	2	NA	0.75	NA	NA	NA	NA	0	NA	1	NA	NA	NA	NA	NA	0	0	0	0	21374.69	38.37	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0
