Species_list
Galatella linosyris
Festuca valesiaca
Fumana procumbens
Sanguisorba minor
Euphorbia cyparissias
Poa badensis
Potentilla incana
Verbascum lychnitis
Acinos arvensis
Alyssum montanum
Cerastium semidecand.
Festuca csikhegyensis
Melica ciliata
Asperula cynanchica
Minuartia rubra
Sedum album
Stipa capillata
Boraginaceae
Potentilla incana
Sanguisorba minor
Sedum album
Teucrium chamaedrys
Stipa capillata
Acinos arvensis
Alyssum montanum
Arenaria serpyllifolia
Cerastium semidecand.
Euphorbia cyparissias
Festuca csikhegyensis
Allium flavum
Camelina microcarpa
Medicago minima
Minuartia rubra
Poa badensis
Koeleria macrantha
Melica ciliata
Sanguisorba minor
Teucrium chamaedrys
Acinos arvensis
Alyssum montanum
Koeleria macrantha
Stipa capillata
Arabis auriculata
Arenaria serpyllifolia
Cerastium semidecand.
Euphorbia cyparissias
Festuca valesiaca
Phleum phleoides
Potentilla incana
Seseli osseum
Medicago minima
Sedum album
Potentilla incana
Sedum album
Phleum phleoides
Sanguisorba minor
Acinos arvensis
Alyssum montanum
Arenaria serpyllifolia
Cerastium semidecand.
Medicago minima
Minuartia rubra
Muscari sp.
Stipa capillata
Veronica prostrata
Erodium cicutarium
Scabiosa ochroleuca
Potentilla incana
Acinos arvensis
Festuca csikhegyensis
Sedum album
Allium flavum
Arenaria serpyllifolia
Cerastium semidecand.
Minuartia rubra
Phleum phleoides
Poa badensis
Sanguisorba minor
Alyssum montanum
Muscari sp.
Medicago minima
Acinos arvensis
Sanguisorba minor
Sedum album
Thymus praecox
Dorycnium germanicum
Potentilla incana
Acinos arvensis
Arabis auriculata
Cerastium semidecand.
Euphorbia cyparissias
Festuca csikhegyensis
Melica ciliata
Minuartia rubra
Poa badensis
Stipa capillata
Phleum phleoides
Sesleria caerulea
Potentilla incana
Primula veris
Achillea pannonica
Veronica vindobonensis
Arabis sagittata
Dianthus pontederae
Euphorbia cyparissias
Festuca csikhegyensis
Festuca valesiaca
Phleum phleoides
Sedum album
Teucrium chamaedrys
Thesium linophyllon
Thymus praecox
Allium senes. ssp. mont.
Sanguisorba minor
Securigera varia
Seseli osseum
Vincetoxicum hirundinar.
Avenula pubescens
Bupleurum falcatum
Dianthus lumnitzeri !!!
Sesleria caerulea
Allium senes. ssp. mont.
Potentilla incana
Primula veris
Achillea pannonica
Carex supina
Dianthus lumnitzeri
Dianthus pontederae
Festuca csikhegyensis
Koeleria macrantha
Phleum phleoides
Plantago media
Sanguisorba minor
Teucrium montanum
Thesium linophyllon
Thymus praecox
Allium flavum
Alyssum alyssoides
Arabis sagittata
Vincetoxicum hirundinar.
Scabiosa ochroleuca
Asperula cynanchica
Euphorbia cyparissias
Jovibarba glob. ssp. hirta
Acinos arvensis
Avenula pubescens
Festuca
Galium sp.
Poa badensis
Centaurea triumfetti
Primula veris
Sesleria caerulea
Thesium linophyllon
Avenula pubescens
Cerastium pumilum
Dianthus lumnitzeri
Erysimum odoratum
Festuca csikhegyensis
Festuca rupicola
Poa angustifolia
Potentilla incana
Sanguisorba minor
Tephroseris integrifolia
Teucrium chamaedrys
Veronica vindobonensis
Vincetoxicum hirundinaria
Geranium robertianum
Arabis sagittata
Viola tricolor cf.
Acinos arvensis
Seseli osseum
Scabiosa ochroleuca
Sesleria caerulea
Achillea pannonica
Campanula persicifolia
Festuca rupicola
Potentilla incana
Tephroseris integrifolia
Teucrium chamaedrys
Thesium linophyllon
Valeriana stol. ssp. angus.
Veronica vindobonensis
Digitalis grandiflora
Euphorbia cyparissias
Phleum phleoides
Sanguisorba minor
Allium flavum
Centaurea triumfetti
Vincetoxicum hirundinar.
Festuca valesiaca
Achillea collina
Arrhenatherum elatius
Seseli osseum
Primula veris
Sesleria caerulea
Veronica vindobonensis
Centaurea triumfetti
Plantago media
Tephroseris integrifolia
Achillea pannonica
Allium senes. ssp. mont.
Avenula pubescens
Dianthus pontederae
Festuca csikhegyensis
Koeleria macrantha
Medicago minima
Melica ciliata
Ornithogalum kochii
Poa angustifolia
Teucrium montanum
Thesium linophyllon
Arrhenatherum elatius
Medicago lupulina
