110980	AAA01 
406603	AAA01 
408361	AAA01 
408364	AAA01 
408966	AAA01 
409669	AAA01 
411146	AAA01 
411148	AAA01 
411154	AAA01 
411160	AAA01 
411161	AAA01 
465698	AAA01 
465847	AAA01 
466368	AAA01 
409670	AAA02 
430585	AAA02 
430587	AAA02 
430988	AAA02 
465851	AAA02 
466311	AAA02 
466359	AAA02 
466360	AAA02 
404873	ABA01 
404878	ABA01 
404879	ABA01 
404881	ABA01 
404941	ABA01 
404942	ABA01 
404943	ABA01 
408372	ABA01 
408384	ABA01 
408962	ABA01 
409673	ABA01 
417621	ABA01 
430584	ABA01 
434656	ABA01 
438003	ABA01 
440758	ABA01 
442079	ABA01 
465093	ABA01 
465491	ABA01 
465700	ABA01 
465846	ABA01 
465853	ABA01 
466361	ABA01 
466375	ABA01 
110350	ABB01 
404866	ABB01 
404867	ABB01 
404872	ABB01 
406556	ABB01 
406641	ABB01 
406642	ABB01 
406654	ABB01 
406658	ABB01 
434724	ABB01 
434804	ABB01 
460648	ABB01 
465712	ABB01 
465817	ABB01 
465856	ABB01 
466395	ABB01 
425111	ACA01 
425116	ACA01 
425117	ACA01 
425118	ACA01 
434647	ACA01 
434648	ACA01 
434650	ACA01 
434651	ACA01 
408490	ACA02 
408491	ACA02 
408495	ACA02 
466351	ACA02 
115730	ADA01 
115731	ADA01 
115733	ADA01 
115743	ADA01 
406621	ADA01 
406622	ADA01 
440504	ADA01 
440525	ADA01 
440535	ADA01 
465001	ADA01 
465013	ADA01 
465025	ADA01 
465087	ADA01 
465650	ADA01 
465863	ADA01 
466417	ADA01 
460703	ADA02 
460704	ADA02 
465067	ADA02 
465071	ADA02 
465108	ADA02 
465112	ADA02 
465350	ADA02 
465393	ADA02 
465449	ADA02 
465621	ADA02 
115535	ADA03 
465157	ADA03 
465548	ADA03 
465703	ADA03 
465831	ADA03 
465861	ADA03 
466385	ADA03 
466446	ADA03 
108343	ADB01 
429271	ADB01 
430541	ADB01 
465122	ADB01 
465372	ADB01 
465468	ADB01 
465570	ADB01 
466382	ADB01 
418059	ADC01 
418076	ADC01 
434725	ADC01 
461863	ADC01 
465240	ADC01 
465242	ADC01 
465461	ADC01 
465576	ADC01 
460692	ADC02 
465236	ADC02 
465460	ADC02 
429841	ADD01 
434668	ADD01 
460143	ADD01 
465186	ADD01 
465187	ADD01 
465258	ADD01 
465434	ADD01 
465562	ADD01 
465644	ADD01 
465788	ADD01 
466363	ADD01 
460721	ADD02 
465249	ADD02 
465252	ADD02 
465254	ADD02 
465256	ADD02 
465439	ADD02 
465580	ADD02 
465581	ADD02 
434699	ADD03 
465553	ADD03 
465728	ADD03 
465812	ADD03 
466323	ADD03 
466325	ADD03 
466327	ADD03 
466352	ADD03 
459072	ADD04 
465128	ADD04 
465398	ADD04 
465537	ADD04 
465538	ADD04 
465566	ADD04 
465675	ADD04 
466374	ADD04 
100484	ADD05 
100486	ADD05 
101560	ADD05 
114833	ADD05 
163593	ADD05 
408765	ADD05 
408767	ADD05 
416826	ADD05 
417653	ADD05 
418071	ADD05 
425421	ADD05 
436966	ADD05 
436967	ADD05 
465271	ADD05 
465374	ADD05 
465378	ADD05 
465379	ADD05 
465384	ADD05 
465389	ADD05 
465587	ADD05 
465590	ADD05 
465601	ADD05 
465669	ADD05 
465670	ADD05 
465685	ADD05 
465903	ADD05 
466154	ADD05 
465035	ADE01 
465036	ADE01 
465040	ADE01 
465042	ADE01 
465047	ADE01 
465054	ADE01 
465163	ADE01 
465469	ADE01 
110844	ADE02 
417631	ADE02 
429857	ADE02 
434745	ADE02 
465027	ADE02 
465033	ADE02 
465061	ADE02 
465136	ADE02 
465143	ADE02 
465285	ADE02 
465606	ADE02 
465630	ADE02 
465667	ADE02 
465679	ADE02 
465686	ADE02 
466428	ADE02 
100385	KAA01 
102325	KAA01 
102326	KAA01 
102327	KAA01 
108379	KAA01 
108383	KAA01 
114947	KAA01 
114998	KAA01 
119257	KAA01 
163760	KAA01 
210163	KAA01 
210719	KAA01 
210768	KAA01 
210814	KAA01 
211058	KAA01 
211358	KAA01 
402517	KAA01 
409463	KAA01 
415471	KAA01 
415472	KAA01 
415473	KAA01 
416577	KAA01 
416579	KAA01 
416580	KAA01 
416584	KAA01 
416585	KAA01 
416588	KAA01 
416589	KAA01 
416590	KAA01 
416591	KAA01 
416592	KAA01 
416593	KAA01 
416596	KAA01 
416601	KAA01 
416604	KAA01 
416605	KAA01 
433647	KAA01 
433648	KAA01 
438137	KAA01 
442060	KAA01 
116544	KAB01 
116850	KAB01 
116851	KAB01 
116891	KAB01 
116894	KAB01 
117744	KAB01 
